entryID,vialNo,plotID,vegtype,vedu19_g,resident20_g,shrubDist,AMHypha,AMVesicle,AMArbuscule,DS,zero,totalHits,rootL,Notes
9,252,ARAR05,ARAR,0.825,6.522,235.3,20,0,0,104,81,205,95,
35,329,ARRI02,ARRI,1.989,2.685,31,15,0,0,164,20,199,125,
6,W02,ARAR05,ARAR,0.825,6.522,139.6,12,0,0,77,34,123,52,
32,396,ARRI02,ARRI,1.989,2.685,68,12,0,0,56,41,109,70,Ethanol evaporated
2,316,ARAR05,ARAR,0.825,6.522,200.8,10,0,1?,37,59,106,50,really dark vescile looking structures
14,323,SEEP02,SEEP,1.628,9.824,388,10,0,0,84,25,119,55,
29,272,ARRI05,ARRI,0.777,5.169,36.3,8,0,0,46,9,63,50,
42,449,ARAR03,ARAR,1.571,3.9225,20,8,0,0,69,53,130,45,
30,341,ARRI05,ARRI,0.777,5.169,22.8,7,0,0,53,29,89,67,
41,351,ARAR03,ARAR,1.571,3.9225,17.5,7,0,0,30,16,53,47,
23,283,ARAR01,ARAR,1.981,3.306,253.1,6,0,0,17,19,42,40,
24,419,ARAR01,ARAR,1.981,3.306,2.7,6,0,0,31,20,57,46,"blue=AMF, fine endophyte. Small dot"
43,285,ARAR03,ARAR,1.571,3.9225,87.5,6,0,0,45,45,96,56,Strange brown coily thing P
8,428,ARAR05,ARAR,0.825,6.522,69.1,5,0,0,37,53,95,76,
51,423,ARAR04,ARAR,1.509,7.825,139,5,0,0,37,19,61,49,
57,472,ARAR02,ARAR,1.985,5.024,106.5,5,0,0,69,50,124,69,
75,464 (36),ARRI03,ARRI,0.57,3.339,NA,5,0,0,120,6,131,69,
45,440,SEEP01,SEEP,1.892,7.13,>500,4,0,0,36,16,56,30,
74,387,ARRI03,ARRI,0.57,3.339,NA,4,0,0,116,14,134,65,
61,361,ARAR02,ARAR,1.985,5.024,30.5,4,0,0,50,21,75,41,
19,354,ARRI01,ARRI,0.45,1.477,64.5,3,0,0,52,3,58,43,
20,435,ARRI01,ARRI,0.45,1.477,49.9,3,0,0,36,46,85,110,
26,344,ARAR01,ARAR,1.981,3.306,195.6,3,0,0,40,24,67,40,
28,392,ARRI05,ARRI,0.777,5.169,62.9,3,0,0,16,26,45,45,
38,406,SEEP01,SEEP,1.892,7.13,>500,3,0,0,50,42,95,60,
50,340,ARAR04,ARAR,1.509,7.825,128,3,0,0,56,18,77,40,
67,293,SEEP04,SEEP,0.701,14.262,179.6,3,0,0,63,7,73,55,
1,454,ARRI04,ARRI,0.684,1.804,75.5,2,0,0,110,15,127,116,
4,426,ARRI04,ARRI,0.684,1.804,146.4,2,0,0,72,23,97,48,
15,494,SEEP02,SEEP,1.628,9.824,356,2,0,0,75,22,99,60,
33,445,ARRI02,ARRI,1.989,2.685,57.5,2,0,0,129,4,135,75,
37,463,SEEP01,SEEP,1.892,7.13,>500,2,0,0,110,5,117,48,
48,420,ARAR04,ARAR,1.509,7.825,21.3,2,0,0,19,20,41,30,
58,493,ARAR02,ARAR,1.985,5.024,231,2,0,0,53,46,101,75,
71,456,SEEP04,SEEP,0.701,14.262,306.5,2,0,0,40,2,44,40,
5,481,ARAR05,ARAR,0.825,6.522,44.5,1,0,0,71,3,75,46,
11,360,ARRI03,ARRI,0.57,3.339,NA,1,0,0,74,6,81,65,
12,461,SEEP02,SEEP,1.628,9.824,154.5,1,0,0,43,6,50,33,
18,476,ARRI01,ARRI,0.45,1.477,136.1,1,0,0,57,2,60,35,
22,430,ARAR01,ARAR,1.981,3.306,52.4,1,0,0,125,3,129,56,
25,331,ARAR01,ARAR,1.981,3.306,47.7,1,0,0,39,42,82,46,
27,328,ARRI05,ARRI,0.777,5.169,61.6,1,0,0,78,17,96,71,Ethanol evaporated
36,363,ARRI02,ARRI,1.989,2.685,2,1,0,0,58,10,69,75,
49,488,ARAR04,ARAR,1.509,7.825,41.5,1,0,maybe?,27,15,43,35,weird brown stuff?
72,412,ARRI03,ARRI,0.57,3.339,NA,1,0,0,33,11,45,75,
3,401,ARRI04,ARRI,0.684,1.804,28.1,0,0,0,45,7,52,57,
7,333,ARRI04,ARRI,0.684,1.804,56.5,0,0,0,66,9,75,57,
17,353,ARRI01,ARRI,0.45,1.477,71,0,0,0,79,7,86,40,"Some light blue, not sure if AMF"
21,451,ARRI01,ARRI,0.45,1.477,86.8,0,0,0,13,6,19,55,
46,286,SEEP01,SEEP,1.892,7.13,>500,0,0,0,35,11,46,46,
68,W09,SEEP04,SEEP,0.701,14.262,496,0,0,0,31,13,44,39,
70,311,SEEP04,SEEP,0.701,14.262,181.5,0,0,0,54,3,57,52,
73,391,ARRI03,ARRI,0.57,3.339,NA,0,0,0,63,9,72,36,
